,,lioncove FP32,,
,GMACs,Top-1 //20 est.,Latency(ms),备注
EF2,0.4,76.30%,9.8,openvino
EF2,0.65,78.70%,15.36,
EF2,1.25,82.00%,27.81,
SWF,0.4,76.20%,12.37,openvino
SWF,1,78.40%,19.33,
SWF,1.6,80.70%,30.71,
EMO,0.26,70.80%,7.78,tflite->openvino
EMO,0.44,74.80%,12.24,
EMO,0.96,79.20%,24.18,
ENX,0.26,70.76%,6.58,mnn
ENX,0.54,74.76%,12.9,
ENX,1.26,80.56%,27.96,
MV2,0.5,69.92%,13.34,tflite
MV2,1,75.08%,25.71,
MV2,1.8,77.92%,41.45,
MV,0.36,68.90%,10.98,openvino
MV,0.89,74.00%,24.94,
MV,2,77.60%,43.89,
LVT,0.3,76.00%,6.24,openvino
LVT,0.41,79.40%,8.42,
LVT,0.66,79.60%,12.45,
CNN,0.29,75.70%,4.45,openvino
CNN,0.72,78.24%,13.91,mnn
CNN,1.2,79.36%,21.17,
CNN,1.7,81.68%,30.64,
