,,A660G GPU FP16,,
,GMACs,Top-1 //20 est.,Latency(ms),备注
EF2,0.4,76.30%,8.62,tflite+litert
EF2,0.65,78.80%,11.53,
EF2,1.25,82.20%,19.72,
SWF,0.4,76.20%,30.1,tflite->mnn
SWF,1,78.30%,36.38,
SWF,1.6,80.70%,44.12,
EMO,0.26,70.40%,15.48,mnn->tflite
EMO,0.44,74.40%,20.85,
EMO,0.96,77.90%,30.32,
ENX,0.26,70.40%,17.85,tflite
ENX,0.54,73.40%,31.92,
ENX,1.26,78.00%,59.88,
MV2,0.5,69.90%,19.74,tflite
MV2,1,75.00%,27.9,
MV2,1.8,78.00%,41.66,
MV,0.36,68.90%,11.99,tflite
MV,0.89,73.80%,18.41,
MV,2,77.50%,26.74,
LVT,0.3,76.00%,6.72,tflite
LVT,0.41,79.30%,8.48,
LVT,0.66,79.50%,10.49,
CNN,0.29,75.60%,4.26,tflite
CNN,0.72,78.20%,9.46,tflite+litert
CNN,1.2,79.40%,12.58,
CNN,1.7,81.40%,18.55,
