,,lunarlake GPU FP16,
,GMACs,Top-1 //20 est.,Latency(ms)
EF2,0.4,76.30%,1.22
EF2,0.65,78.80%,1.33
EF2,1.25,81.90%,2.05
SWF,0.4,76.10%,1.5
SWF,1,78.30%,1.53
SWF,1.6,80.70%,1.73
EMO,0.26,70.80%,2.05
EMO,0.44,74.80%,2.6
EMO,0.96,79.20%,3.03
ENX,0.26,,
ENX,0.54,,
ENX,1.26,,
MV2,0.5,69.80%,1.74
MV2,1,75.00%,1.98
MV2,1.8,77.90%,2.34
MV,0.36,69.00%,2.3
MV,0.89,74.20%,2.58
MV,2,77.60%,2.95
LVT,0.3,76.00%,1.03
LVT,0.41,79.30%,1.28
LVT,0.66,79.80%,1.44
CNN,0.29,75.70%,0.75
CNN,0.72,78.20%,1.09
CNN,1.2,79.30%,1.41
CNN,1.7,81.70%,1.94
