MobileNetV3,-48.61218698,-18.80690392,CNN
b0,16.93313263,57.89656549,CNN
b1,25.28479572,67.46503579,CNN
b2,31.59751874,74.5527121,CNN
cs3darknet_s,76.40614709,125.0256478,CNN
dla60x_c,-19.35794428,17.55373001,CNN
efficientnet_lite0,-42.94973579,-12.28204713,CNN
efficientnet_lite1,-41.80889102,-10.67181631,CNN
efficientnet_lite2,-36.99964985,-4.89430516,CNN
efficientnet_lite3,-32.20350413,0.49447816,CNN
fbnetv3_b,-43.1540788,-11.66952822,CNN
ghostnet_100,-54.51787283,-26.37673451,CNN
hardcorenas_c,-45.52852962,-15.05362106,CNN
lcnet_100,-39.72126265,-9.19543562,CNN
mnasnet_100,-42.60601787,-11.99349545,CNN
mobilenetv3_large_075,-55.01387172,-27.1913622,CNN
mobileone_s1,-22.92310574,10.06529264,CNN
regnetx_016,52.49748278,96.90521176,CNN
regnety_008_tv,20.30868744,60.7544521,CNN
regnety_016,50.88405178,95.5543665,CNN
regnetz_005,-26.54697774,9.62503882,CNN
regnetz_b16,12.25856659,52.92859872,CNN
repghostnet_130,-50.19269051,-22.5877096,CNN
rexnet_100,-46.63969073,-15.32731692,CNN
rexnet_130,-37.00550061,-4.02986608,CNN
rexnet_150,-30.31608926,3.60603287,CNN
semnasnet_100,-47.3655453,-17.80106594,CNN
spnasnet_100,-44.02059835,-13.73587188,CNN
tinynet_a,-41.73202215,-8.82033074,CNN
tinynet_b,-53.05012034,-22.58408346,CNN
EF2-s0,-25.54395509,-3.28016326,EF2
EF2-s1,-20.52992443,6.28028461,EF2
EF2-s2,-6.78893983,21.8497912,EF2
SWF-XS,-3.28516132,-0.28406078,SWF
SWF-S,15.92841051,26.68464009,SWF
SWF-L1,36.39234534,51.78673363,SWF
EMO-1M,-50.2222375,-28.25564008,EMO
EMO-2M,-41.00453834,-19.33631607,EMO
EMO-6M,-22.33480669,3.99918541,EMO
ENX-XXS,90.90351472,-106.7172553,ENX
ENX-XS,102.1942744,-99.85561569,ENX
ENX-S,136.4958338,-65.34929837,ENX
MV2-0.5,-44.54679247,-12.36947803,MV2
MV2-0.75,-26.54003816,8.35156835,MV2
MV2-1.0,-8.44548339,28.85232649,MV2
MV-XXS,9.96609869,-73.61875284,MV
MV-XS,3.73546894,-48.74313277,MV
MV-S,35.19830634,-26.13938288,MV
LVT-128S,135.8417736,-33.03458134,LVT
LVT-128,132.1914632,-47.53256381,LVT
LVT-192,166.4898911,-2.69395707,LVT
